ID_2	Xt	Yt	MOS	pH	ARC	Altura	Zones(4)	TvsPP
175	443317.34	6244372.51	1.64	5.63	15	146	IV	0.215636822194199
195	419886.44	6437078.79	1.65	7	30.7	323	IV	0.214012738853503
289	363949.38	6366384.19	1.65	6.8	13.6	603	IV	0.214002642007926
31	565136.39	6336920	1.66	5.7	26.1	109	III	0.200238379022646
258	378122.04	6374188.83	1.67	7.4	8.5	525	IV	0.212435233160622
389	244261.6	6468474.59	1.67	8	8.8	343	I	0.380116959064327
266	385668.46	6223914.94	1.68	6	13	201	IV	0.232558139534884
134	460337.21	6457270.37	1.7	7.4	18.9	235	III	0.217834394904459
197	424187.59	6394252.6	1.71	6.46	12.3	276	IV	0.215462610899873
335	315026.93	6615022.32	1.71	7.7	12.3	377	I	0.373540856031128
177	438685.11	6206639.95	1.71	7.7	15.8	147	IV	0.224137931034483
44	539590.42	6394001.67	1.73	6.6	16.8	121	III	0.197166469893743
382	257921.06	6610370.74	1.73	7	8.5	215	I	0.444924406047516
388	260311.31	6503994.26	1.74	7.5	10.1	286	I	0.386407766990291
55	521452.94	6557077.16	1.74	6.5	23.5	102	III	0.210340775558167
372	256688.95	6610529.25	1.74	6.9	7.4	211	I	0.446854663774403
220	399062.75	6541123.71	1.75	7.3	23.1	424	III	0.214285714285714
132	462239.48	6500270.7	1.75	7.5	24	223	III	0.214374225526642
170	442929	6343521.97	1.76	5.71	10.9	215	IV	0.211706102117061
144	456056.18	6258558.29	1.79	5.37	10.8	131	IV	0.215094339622642
321	348477.51	6320510.23	1.79	7.4	7.4	546	IV	0.215789473684211
164	440689.25	6459393.96	1.79	7	23.5	276	III	0.217557251908397
135	460414.96	6437318.15	1.8	7.4	12.8	239	IV	0.216944801026958
383	246082.72	6589469.07	1.81	7.2	8.5	230	I	0.439914163090129
92	505459.79	6279686.88	1.81	5.93	16.8	125	IV	0.212121212121212
206	415498.84	6218452.95	1.81	6.2	12.8	166	IV	0.225763612217795
139	465851.56	6355546.78	1.82	8.2	12.9	172	IV	0.21437578814628
291	358906.86	6318190.95	1.82	6.6	16.8	467	IV	0.214377406931964
227	406077.5	6399415.16	1.84	6.47	13.4	378	IV	0.213010204081633
234	401472.93	6255903.18	1.84	6.3	16	225	IV	0.218790218790219
236	402509.29	6212628.59	1.86	7.5	17	181	IV	0.230664857530529
127	459804.01	6596920.25	1.86	7	17.3	98	IV	0.224815724815725
366	300315.59	6496947.28	1.88	6.2	24	1012	II	0.268128161888702
179	435022.64	6151497.02	1.88	6.8	14.6	136	IV	0.236543909348442
205	415059.81	6233150.92	1.89	6.3	16.2	173	IV	0.222946544980443
23	560281.99	6498670.52	1.89	6.1	21.2	106	III	0.203252032520325
274	355738.66	6657257.94	1.89	8.3	11.5	397	I	0.362616822429907
80	502725.07	6522890.39	1.9	6.9	21.3	146	III	0.210336538461538
264	377971.74	6258673.41	1.91	6.3	12.4	236	IV	0.226490066225166
362	304823.83	6586069.64	1.91	7.4	13.6	525	I	0.347169811320755
36	540066.35	6554922.98	1.91	7	22.7	91	III	0.209545983701979
91	499572.02	6292383.84	1.91	6.11	14.4	122	IV	0.212045169385194
103	478088.6	6555573.5	1.92	7	24.7	151	III	0.215235792019347
